edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.deprecated_degree_course_mappings,prod.silver.courral_degree_course_mappings_vw,Done,No,EDSMIG-8306,prod.silver_base.courral_degree_course_mappings,courral_degree_course_mappings,['doc_key']
coursera_warehouse.edw_prod.coach_contents,prod.silver.courral_coach_contents_vw,Done,No,EDSMIG-8301,prod.silver_base.courral_coach_contents,courral_coach_contents,"['version', 'doc_key']"
core_prep.user_registration_first_page_view,prod.general.stg_user_registration_first_page_view,Done,No,EDSMIG-7797,prod.general.stg_user_registration_first_page_view,,
core_prep.user_registration_events_p30d,prod.general.stg_user_registration_events_p30d,Done,No,EDSMIG-7796,prod.general.stg_user_registration_events_p30d,,
coursera_warehouse.edw_prod.workflow_executions,prod.silver.courral_workflow_executions_vw,Done,No,EDSMIG-6081,prod.silver_base.courral_workflow_executions,courral_workflow_executions,['doc_key']
coursera_warehouse.edw_prod.workflow_execution_outputs,prod.silver.courral_workflow_execution_outputs_vw,Done,No,EDSMIG-6080,prod.silver_base.courral_workflow_execution_outputs,courral_workflow_execution_outputs,"['doc_key', 'version', 'transact_seq']"
coursera_warehouse.edw_prod.widgets,prod.silver.courral_widgets_all_vw,Done,No,EDSMIG-6079,prod.silver_base.courral_widgets_all,courral_widgets_all,['widget_id']
coursera_warehouse.edw_prod.widget_session_providers,prod.silver.widget_session_providers_all_vw,Done,No,EDSMIG-6078,prod.silver_base.widget_session_providers_all,widget_session_providers_all,['widget_session_provider_id']
coursera_warehouse.edw_prod.widget_contents,prod.silver.courral_widget_contents_vw,Done,No,EDSMIG-6077,prod.silver_base.courral_widget_contents,courral_widget_contents,"['version', 'doc_key']"
coursera_warehouse.edw_prod.votes,prod.silver.courral_votes_vw,Done,No,EDSMIG-6073,prod.silver_base.courral_votes,courral_votes,"['doc_key', 'vote_ts']"
coursera_warehouse.edw_prod.video_asset_ids,prod.silver.courral_video_asset_ids_vw,Done,No,EDSMIG-6070,prod.silver_base.courral_video_asset_ids,courral_video_asset_ids,['doc_key']
coursera_warehouse.edw_prod.user_roles_history,prod.silver.permissions_user_roles_history_vw,Done,No,EDSMIG-6069,prod.silver_base.permissions_user_roles_history,permissions_user_roles_history,['id']
coursera_warehouse.edw_prod.user_profile_interested_careers,prod.silver_pii.courral_user_profile_interested_careers_vw,Done,No,EDSMIG-6063,prod.silver_base_pii.courral_user_profile_interested_careers,courral_user_profile_interested_careers,"['doc_key', 'interested_career_index']"
coursera_warehouse.edw_prod.user_preferred_domains,prod.silver.courral_user_preferred_domains_vw,Done,No,EDSMIG-6059,prod.silver_base.courral_user_preferred_domains,courral_user_preferred_domains,['user_id']
coursera_warehouse.edw_prod.user_onboarding_interests,prod.silver.courral_user_onboarding_interests_vw,Done,No,EDSMIG-6047,prod.silver_base.courral_user_onboarding_interests,courral_user_onboarding_interests,['doc_key']
coursera_warehouse.edw_prod.user_onboarding_domains,prod.silver.courral_user_onboarding_domains_vw,Done,No,EDSMIG-6043,prod.silver_base.courral_user_onboarding_domains,courral_user_onboarding_domains,"['doc_key', 'preferred_domain_id', 'preferred_subdomain_id']"
coursera_warehouse.edw_prod.university_memberships,prod.silver.courral_partner_memberships_main_vw,Done,No,EDSMIG-6036,prod.silver_base.courral_partner_memberships_main,courral_partner_memberships_main,"['user_id', 'university_id', 'university_membership_role', 'university_membership_ts']"
coursera_warehouse.edw_prod.university_group_memberships,prod.silver.courral_partner_group_memberships_main_vw,Done,No,EDSMIG-6035,prod.silver_base.courral_partner_group_memberships_main,courral_partner_group_memberships_main,"['group_id', 'university_id', 'university_group_membership_role']"
coursera_warehouse.edw_prod.universities,prod.silver.maestro_universities_vw,Done,No,EDSMIG-6033,prod.silver_base.maestro_universities,maestro_universities,['id']
coursera_warehouse.edw_prod.ungraded_lab_contents,prod.silver.courral_ungraded_lab_contents_vw,Done,No,EDSMIG-6031,prod.silver_base.courral_ungraded_lab_contents,courral_ungraded_lab_contents,"['doc_key', 'version']"
coursera_warehouse.edw_prod.topics_universities,prod.silver.static_topics_universities_vw,Done,No,EDSMIG-6024,prod.silver_base.static_topics_universities,,
coursera_warehouse.edw_prod.topics_specializations,prod.silver.static_topics_specializations_vw,Done,No,EDSMIG-6022,prod.silver_base.static_topics_specializations,,
coursera_warehouse.edw_prod.topics,prod.silver.static_topics_vw,Done,No,EDSMIG-6019,prod.silver_base.static_topics,,
coursera_warehouse.edw_prod.third_party_organizations,prod.silver.courral_third_party_organizations_vw,Done,No,EDSMIG-6011,prod.silver_base.courral_third_party_organizations,courral_third_party_organizations,['doc_key']
coursera_warehouse.edw_prod.survey_response_id_to_timestamp_before_20180521,prod.silver.static_survey_response_id_to_timestamp_before_20180521_vw,Done,No,EDSMIG-5997,prod.silver_base.static_survey_response_id_to_timestamp_before_20180521,,
coursera_warehouse.edw_prod.subtitle_metadata,prod.silver.courral_video_subtitle_metadata_vw,Done,No,EDSMIG-5972,prod.silver_base.courral_video_subtitle_metadata,courral_video_subtitle_metadata,['doc_key']
coursera_warehouse.edw_prod.subtitle_job_transcription_vendor,prod.silver.subtitle_job_transcription_vendor_vw,Done,No,EDSMIG-5971,prod.silver_base.subtitle_job_transcription_vendor,subtitle_job_transcription_vendor,['subtitle_job_id']
coursera_warehouse.edw_prod.subtitle_job_subtitle_asset_ids,prod.silver.subtitle_job_subtitle_asset_ids_vw,Done,No,EDSMIG-5970,prod.silver_base.subtitle_job_subtitle_asset_ids,subtitle_job_subtitle_asset_ids,"['subtitle_job_id', 'subtitle_language']"
