Issue Type,Issue key,Issue id,Summary,Status,Custom field (EDS equivalent table),Custom field (EDW table replaced with external table?),Custom field (EDW table),Custom field (Validation details (optional))
Task,EDSMIG-7640,493640,bi. b2c_funnel_monthly_new_user_level_states_v2,To Do,,,,
Task,EDSMIG-1,414449,bi.core_enrollments - Phase 1,To Do,,,bi.core_enrollments,
Epic,EDSMIG-2,414462,bi,To Do,,,,
Epic,EDSMIG-3,414463,bi_dev,To Do,,,,
Epic,EDSMIG-4,414464,bi_stg,To Do,,,,
Epic,EDSMIG-5,414465,biv,To Do,,,,
Epic,EDSMIG-6,414466,core,To Do,,,,
Epic,EDSMIG-7,414467,core_dev,To Do,,,,
Epic,EDSMIG-8,414468,core_prep,To Do,,,,
Epic,EDSMIG-9,414469,core_prep_dev,To Do,,,,
Epic,EDSMIG-10,414470,core_prep_stg,To Do,,,,
Epic,EDSMIG-11,414471,core_stg,To Do,,,,
Epic,EDSMIG-12,414472,dev_ml,To Do,,,,
Epic,EDSMIG-13,414473,exportv,To Do,,,,
Epic,EDSMIG-14,414474,finsys,To Do,,,,
Epic,EDSMIG-15,414475,finsys_dev,To Do,,,,
Epic,EDSMIG-16,414476,finsys_stg,To Do,,,,
Epic,EDSMIG-17,414477,hist,To Do,,,,
Epic,EDSMIG-19,414479,operating_metrics,To Do,,,,
Epic,EDSMIG-20,414480,operating_metrics_dev,To Do,,,,
Epic,EDSMIG-21,414481,pii,To Do,,,,
Epic,EDSMIG-22,414482,pii_dev,To Do,,,,
Epic,EDSMIG-23,414483,pii_enterprise_restricted,To Do,,,,
Epic,EDSMIG-24,414484,pii_stg,To Do,,,,
Epic,EDSMIG-25,414485,prod,To Do,,,,
Epic,EDSMIG-26,414486,prod_dev,To Do,,,,
Epic,EDSMIG-27,414487,prod_ml,To Do,,,,
Epic,EDSMIG-28,414488,reporting,To Do,,,,
Epic,EDSMIG-29,414489,reporting_dev,To Do,,,,
Epic,EDSMIG-30,414490,reporting_snapshot,To Do,,,,
Epic,EDSMIG-31,414491,reporting_snapshot_ds,To Do,,,,
Epic,EDSMIG-32,414492,salesforce,To Do,,,,
